Balanced Round,https://codeforces.com/problemset/problem/1850/D,1100,no,yes,no
Monsters,https://codeforces.com/problemset/problem/1849/B,800,no,yes,no
Vika and the Bridge,https://codeforces.com/problemset/problem/1848/B,800,no,yes,yes
Hamon Odyssey,https://codeforces.com/problemset/problem/1847/B,900,no,yes,no
The Man who became a God,https://codeforces.com/problemset/problem/1847/A,1000,no,yes,no
Rudolf and the Another Competition,https://codeforces.com/problemset/problem/1846/C,1200,yes,yes,no
Apple Tree,https://codeforces.com/problemset/problem/1843/D,800,yes,no,no
Long Long,https://codeforces.com/problemset/problem/1843/B,800,no,yes,no
Sasha and Array Coloring,https://codeforces.com/problemset/problem/1843/A,800,no,yes,no
Tenzing and Books,https://codeforces.com/problemset/problem/1842/B,800,no,yes,no
Lamps,https://codeforces.com/problemset/problem/1839/B,800,no,yes,no
The Good Array,https://codeforces.com/problemset/problem/1839/A,1100,no,yes,no
Best Binary String,https://codeforces.com/problemset/problem/1837/C,800,no,yes,no
Comparison String,https://codeforces.com/problemset/problem/1837/B,1000,no,yes,no
Astrophysicists,https://codeforces.com/problemset/problem/1836/B,800,no,yes,no
Game with Reversing,https://codeforces.com/problemset/problem/1834/C,800,no,yes,no
Maximum Strength,https://codeforces.com/problemset/problem/1834/B,1200,no,yes,no
Unit Array,https://codeforces.com/problemset/problem/1834/A,1000,no,yes,no
Vlad Building Beautiful Array,https://codeforces.com/problemset/problem/1833/C,800,no,yes,no
Restore the Weather,https://codeforces.com/problemset/problem/1833/B,800,no,yes,no
Contrast Value,https://codeforces.com/problemset/problem/1832/C,800,no,yes,no
Array merging,https://codeforces.com/problemset/problem/1831/B,800,no,yes,no
Gold Rush,https://codeforces.com/problemset/problem/1829/D,1100,yes,no,no
Mr. Perfectly Fine,https://codeforces.com/problemset/problem/1829/C,1000,no,yes,no
Trust Nobody,https://codeforces.com/problemset/problem/1826/A,1100,no,yes,no
LuoTianyi and the Table,https://codeforces.com/problemset/problem/1825/B,1200,no,yes,no
LuoTianyi and the Palindrome String,https://codeforces.com/problemset/problem/1825/A,1000,no,yes,no
Karina and Array,https://codeforces.com/problemset/problem/1822/B,800,no,yes,no
Sort the Subarray,https://codeforces.com/problemset/problem/1821/B,800,no,yes,no
Politics,https://codeforces.com/problemset/problem/1818/A,900,no,yes,no
Grid Reconstruction,https://codeforces.com/problemset/problem/1816/B,800,no,yes,no
Restore the Array,https://codeforces.com/problemset/problem/1811/C,800,no,yes,no
Insert Digit,https://codeforces.com/problemset/problem/1811/A,1000,no,yes,no
Beautiful Sequence,https://codeforces.com/problemset/problem/1810/A,800,no,yes,no
Points on Plane,https://codeforces.com/problemset/problem/1809/B,800,no,yes,yes
Subsequence Addition (Hard Version),https://codeforces.com/problemset/problem/1807/G2,900,yes,yes,no
Subsequence Addition (Easy Version),https://codeforces.com/problemset/problem/1807/G1,1100,yes,yes,no
Find and Replace,https://codeforces.com/problemset/problem/1807/C,900,no,yes,no
Grab the Candies,https://codeforces.com/problemset/problem/1807/B,800,no,yes,no
Mex Master,https://codeforces.com/problemset/problem/1806/B,800,no,yes,no
Walking Master,https://codeforces.com/problemset/problem/1806/A,900,no,yes,no
The String Has a Target,https://codeforces.com/problemset/problem/1805/B,800,no,yes,no
Vaccination,https://codeforces.com/problemset/problem/1804/B,800,no,yes,no
Lame King,https://codeforces.com/problemset/problem/1804/A,1000,no,yes,no
Settlement of Guinea Pigs,https://codeforces.com/problemset/problem/1802/B,800,no,yes,no
Likes,https://codeforces.com/problemset/problem/1802/A,1000,no,yes,no
Remove Two Letters,https://codeforces.com/problemset/problem/1800/D,800,no,yes,no
Powering the Hero (hard version),https://codeforces.com/problemset/problem/1800/C2,1200,no,yes,no
Powering the Hero (easy version),https://codeforces.com/problemset/problem/1800/C1,1100,no,yes,no
Count the Number of Pairs,https://codeforces.com/problemset/problem/1800/B,1000,no,yes,no
Equalize by Divide,https://codeforces.com/problemset/problem/1799/B,800,no,yes,no
Recent Actions,https://codeforces.com/problemset/problem/1799/A,1200,no,yes,no
Three Sevens,https://codeforces.com/problemset/problem/1798/B,800,no,yes,no
Showstopper,https://codeforces.com/problemset/problem/1798/A,1000,no,yes,no
Li Hua and Pattern,https://codeforces.com/problemset/problem/1797/B,800,no,yes,no
Li Hua and Maze,https://codeforces.com/problemset/problem/1797/A,1100,no,yes,no
Ideal Point,https://codeforces.com/problemset/problem/1795/B,800,no,yes,no
Yet Another Promotion,https://codeforces.com/problemset/problem/1793/A,1100,no,yes,no
Stand-up Comedian,https://codeforces.com/problemset/problem/1792/B,800,no,yes,no
GamingForces,https://codeforces.com/problemset/problem/1792/A,1200,no,yes,no
Teleporters (Easy Version),https://codeforces.com/problemset/problem/1791/G1,800,no,yes,no
Negatives and Positives,https://codeforces.com/problemset/problem/1791/E,1100,yes,yes,no
Distinct Split,https://codeforces.com/problemset/problem/1791/D,1100,no,yes,no
Matryoshkas,https://codeforces.com/problemset/problem/1790/D,800,no,yes,no
Taisia and Dice,https://codeforces.com/problemset/problem/1790/B,1000,no,yes,no
Sum of Two Numbers,https://codeforces.com/problemset/problem/1788/B,800,no,yes,no
Number Factorization,https://codeforces.com/problemset/problem/1787/B,800,no,yes,no
Monsters (easy version),https://codeforces.com/problemset/problem/1784/A,800,no,yes,no
Going to the Cinema,https://codeforces.com/problemset/problem/1781/B,800,no,yes,no
GCD Partition,https://codeforces.com/problemset/problem/1780/B,800,no,yes,no
Hayato and School,https://codeforces.com/problemset/problem/1780/A,1100,no,yes,no
Hall of Fame,https://codeforces.com/problemset/problem/1779/A,900,no,yes,no
